day,solar (MW),wind (MW),load (MW),solar_forcast (MW),wind_forecast (MW),load_forecast (MW),price (EUR/MWh),emission factor (kg CO2/MWh)
0,0.0,4501.0,14355.0,0.0,3959.0,14128.0,61.74,115.522749722
0,0.0,4439.0,14301.0,0.0,3868.0,14050.0,61.74,115.522749722
0,0.0,4342.0,14181.0,0.0,3777.0,13950.0,61.27,124.29425120354
0,0.0,4155.0,14093.0,0.0,3698.0,13808.0,61.27,124.29425120354
0,0.0,4161.0,13906.0,0.0,3637.0,13617.0,61.27,124.29425120354
0,0.0,4012.0,13835.0,0.0,3577.0,13463.0,61.27,124.29425120354
0,0.0,3705.0,13618.0,0.0,3517.0,13266.0,59.97,109.17074978352
0,0.0,3491.0,13415.0,0.0,3457.0,13102.0,59.97,109.17074978352
0,0.0,3620.0,13310.0,0.0,3396.0,12972.0,59.97,109.17074978352
0,0.0,3899.0,13251.0,0.0,3338.0,12816.0,59.97,109.17074978352
0,0.0,4146.0,13136.0,0.0,3280.0,12520.0,54.92,104.38700020313
0,0.0,4283.0,13083.0,0.0,3204.0,12341.0,54.92,104.38700020313
0,0.0,4300.0,12907.0,0.0,3116.0,12188.0,54.92,104.38700020313
0,0.0,4234.0,12791.0,0.0,3024.0,12006.0,54.92,104.38700020313
0,0.0,4220.0,12601.0,0.0,2935.0,11766.0,47.65,100.17897188663
0,0.0,4319.0,12442.0,0.0,2942.0,11519.0,47.65,100.17897188663
0,0.0,4408.0,12232.0,0.0,3042.0,11330.0,47.65,100.17897188663
0,0.0,4338.0,12055.0,0.0,3143.0,11151.0,47.65,100.17897188663
0,0.0,4426.0,11927.0,0.0,3243.0,11024.0,35.55,98.41982275247601
0,0.0,4455.0,11797.0,0.0,3329.0,10820.0,35.55,98.41982275247601
0,0.0,4460.0,11612.0,0.0,3405.0,10635.0,35.55,98.41982275247601
0,0.0,4399.0,11515.0,0.0,3480.0,10443.0,35.55,98.41982275247601
1,0.0,4038.0,11476.0,0.0,3599.0,10322.0,29.39,93.264073133469
1,0.0,3823.0,11459.0,0.0,3633.0,10272.0,29.39,93.264073133469
1,0.0,3812.0,11362.0,0.0,3667.0,10186.0,29.39,93.264073133469
1,0.0,3617.0,11204.0,0.0,3699.0,10055.0,29.39,93.264073133469
1,0.0,3776.0,11139.0,0.0,3735.0,9969.0,19.6,86.950346827507
1,0.0,3778.0,11081.0,0.0,3797.0,9922.0,19.6,86.950346827507
1,0.0,3674.0,10993.0,0.0,3887.0,9795.0,19.6,86.950346827507
1,0.0,3634.0,10970.0,0.0,3980.0,9697.0,19.6,86.950346827507
1,0.0,3958.0,10904.0,0.0,4069.0,9619.0,27.33,83.432927727699
1,0.0,4129.0,10897.0,0.0,4163.0,9581.0,27.33,83.432927727699
1,0.0,4102.0,10868.0,0.0,4249.0,9488.0,27.33,83.432927727699
1,0.0,4022.0,10808.0,0.0,4342.0,9459.0,27.33,83.432927727699
1,0.0,4369.0,10838.0,0.0,4432.0,9434.0,16.2,81.89159631729099
1,0.0,4314.0,10808.0,0.0,4509.0,9365.0,16.2,81.89159631729099
1,0.0,4300.0,10812.0,0.0,4575.0,9351.0,16.2,81.89159631729099
1,0.0,4269.0,10801.0,0.0,4645.0,9323.0,16.2,81.89159631729099
1,0.0,4443.0,10820.0,0.0,4711.0,9426.0,9.5,85.55120229721099
1,0.0,4493.0,10875.0,0.0,4755.0,9511.0,9.5,85.55120229721099
1,0.0,4519.0,10896.0,0.0,4775.0,9481.0,9.5,85.55120229721099
1,0.0,4462.0,10966.0,0.0,4801.0,9489.0,9.5,85.55120229721099
1,0.0,4656.0,11110.0,0.0,4821.0,9605.0,11.2,92.769771814346
1,0.0,4689.0,11232.0,0.0,4848.0,9746.0,11.2,92.769771814346
1,0.0,4914.0,11376.0,0.0,4880.0,9851.0,11.2,92.769771814346
1,0.0,4818.0,11566.0,0.0,4911.0,9983.0,11.2,92.769771814346
1,0.0,3962.0,11955.0,0.0,4946.0,10286.0,44.43,94.134196639061
1,0.0,3991.0,12205.0,0.0,4974.0,10645.0,44.43,94.134196639061
1,0.0,4202.0,12479.0,0.0,5004.0,10931.0,44.43,94.134196639061
1,0.0,4339.0,12729.0,0.0,5034.0,11240.0,44.43,94.134196639061
1,0.0,4721.0,13229.0,0.0,5062.0,11661.0,56.56,100.37229955196
1,0.0,5097.0,13576.0,0.0,5068.0,11993.0,56.56,100.37229955196
1,0.0,5142.0,13919.0,0.0,5052.0,12269.0,56.56,100.37229955196
1,0.0,5347.0,14278.0,0.0,5032.0,12528.0,56.56,100.37229955196
1,0.0,5308.0,14632.0,0.0,5015.0,12726.0,64.28,103.42124849558
1,0.0,5372.0,14934.0,0.0,4996.0,12985.0,64.28,103.42124849558
1,0.0,5345.0,15153.0,0.0,4979.0,13198.0,64.28,103.42124849558
1,0.0,5313.0,15348.0,0.0,4963.0,13366.0,64.28,103.42124849558
1,0.0,5285.0,15484.0,0.0,4947.0,13471.0,66.12,107.24449902773
1,2.0,5160.0,15592.0,23.0,4932.0,13532.0,66.12,107.24449902773
1,4.0,5048.0,15672.0,46.0,4917.0,13555.0,66.12,107.24449902773
1,9.0,4873.0,15690.0,71.0,4903.0,13538.0,66.12,107.24449902773
1,13.0,4680.0,15636.0,95.0,4891.0,13590.0,70.6,114.87074941397
1,15.0,4270.0,15563.0,122.0,4835.0,13553.0,70.6,114.87074941397
1,17.0,3944.0,15529.0,152.0,4732.0,13368.0,70.6,114.87074941397
1,22.0,3935.0,15555.0,181.0,4631.0,13283.0,70.6,114.87074941397
1,29.0,3913.0,15593.0,213.0,4529.0,13290.0,78.8,127.78325378895
1,35.0,3787.0,15637.0,231.0,4423.0,13202.0,78.8,127.78325378895
1,34.0,3679.0,15705.0,251.0,4308.0,13182.0,78.8,127.78325378895
1,34.0,3840.0,15769.0,271.0,4196.0,13186.0,78.8,127.78325378895
1,41.0,3822.0,15863.0,292.0,4083.0,13325.0,99.9,144.06000077724
1,46.0,3801.0,15987.0,300.0,3946.0,13402.0,99.9,144.06000077724
1,36.0,3758.0,15984.0,308.0,3788.0,13483.0,99.9,144.06000077724
1,25.0,3768.0,16011.0,318.0,3628.0,13575.0,99.9,144.06000077724
